domain,metric,n,mean,median,std,ci95_low,ci95_high
ai-ml,presence_percent,6,47.5,47.5,15.732,37.5,60.0
ai-ml,quality_percent,6,67.85,71.3,18.029,55.1,80.383
climate-earth,presence_percent,6,43.333,47.5,15.706,30.0,52.5
climate-earth,quality_percent,6,62.2,65.4,18.011,47.883,73.767
computational-biology,presence_percent,6,50.0,47.5,12.247,42.5,60.0
computational-biology,quality_percent,6,58.633,58.8,12.73,49.633,67.85
hpc,presence_percent,6,36.667,40.0,14.376,25.833,46.667
hpc,quality_percent,6,60.667,61.5,13.033,51.167,69.833
medical-ai,presence_percent,6,50.833,47.5,16.857,39.167,62.5
medical-ai,quality_percent,6,52.817,57.1,17.644,38.95,64.017
