repository,domain,ai_valid,top1_agreement,top3_overlap_count,jaccard_similarity,precision,recall,f1,deterministic_priority_1,ai_priority_1
BuildTest,hpc,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
Spack,hpc,False,0,0,0.0,0.0,0.0,0.0,HPC portability quality,
Kokkos,hpc,False,0,0,0.0,0.0,0.0,0.0,Dependency quality,
PETSc,hpc,False,0,0,0.0,0.0,0.0,0.0,Container quality,
MFEM,hpc,False,0,0,0.0,0.0,0.0,0.0,Dependency quality,
hypre,hpc,False,0,0,0.0,0.0,0.0,0.0,Container quality,
scikit-learn,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Dependency quality,
XGBoost,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Container quality,
PyTorch Lightning,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Container quality,
Transformers,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
MONAI,ai-ml,False,0,0,0.0,0.0,0.0,0.0,HPC portability quality,
CatBoost,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
Biopython,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Container quality,
Scanpy,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Container quality,
CellProfiler,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
Snakemake,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
Nextflow,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Test quality,
QIIME2,computational-biology,False,0,0,0.0,0.0,0.0,0.0,Container quality,
xarray,climate-earth,False,0,0,0.0,0.0,0.0,0.0,Dependency quality,
Pangeo,climate-earth,False,0,0,0.0,0.0,0.0,0.0,Container quality,
ESMValTool,climate-earth,False,0,0,0.0,0.0,0.0,0.0,HPC portability quality,
netCDF4-python,climate-earth,False,0,0,0.0,0.0,0.0,0.0,Container quality,
Iris,climate-earth,False,0,0,0.0,0.0,0.0,0.0,Container quality,
MetPy,climate-earth,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
nnU-Net,medical-ai,False,0,0,0.0,0.0,0.0,0.0,Container quality,
TorchIO,medical-ai,False,0,0,0.0,0.0,0.0,0.0,Container quality,
SimpleITK,medical-ai,True,1,1,0.333,1.0,0.3333,0.5,Provenance quality,Provenance quality
TotalSegmentator,medical-ai,False,0,0,0.0,0.0,0.0,0.0,Provenance quality,
MONAI Label,medical-ai,False,0,0,0.0,0.0,0.0,0.0,HPC portability quality,
Brain Tumor Viskores ViT,medical-ai,False,0,0,0.0,0.0,0.0,0.0,Container quality,
