repository,domain,ai_valid,top1_agreement,top3_overlap_count,jaccard_similarity,precision,recall,f1,deterministic_priorities,ai_priorities,error
BuildTest,hpc,True,0,1,0.2,0.3333,0.3333,0.3333,Provenance quality | Container quality | HPC portability quality,Dependency quality | Test quality | Provenance quality,
Spack,hpc,True,0,1,0.25,0.5,0.3333,0.4,HPC portability quality | Provenance quality | Container quality,Dependency quality | Container quality,
Kokkos,hpc,True,1,1,0.25,0.5,0.3333,0.4,Dependency quality | HPC portability quality | Provenance quality,Dependency quality | Test quality,
PETSc,hpc,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Provenance quality | HPC portability quality,Dependency quality | Container quality,
MFEM,hpc,False,0,0,0.0,0.0,0.0,0.0,Dependency quality | HPC portability quality | Provenance quality,,No valid exact labels returned
hypre,hpc,True,0,0,0.0,0.0,0.0,0.0,Container quality | HPC portability quality | Provenance quality,Dependency quality | Test quality,
scikit-learn,ai-ml,True,1,2,0.5,0.6667,0.6667,0.6667,Dependency quality | Provenance quality | Container quality,Dependency quality | Container quality | Test quality,
XGBoost,ai-ml,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Provenance quality | HPC portability quality,Dependency quality | Container quality,
PyTorch Lightning,ai-ml,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Test quality | Provenance quality,Dependency quality | Container quality,
Transformers,ai-ml,False,0,0,0.0,0.0,0.0,0.0,Provenance quality | Dependency quality | README quality,,No valid exact labels returned
MONAI,ai-ml,True,0,0,0.0,0.0,0.0,0.0,HPC portability quality | Container quality | Provenance quality,Dependency quality | Test quality,
CatBoost,ai-ml,True,0,1,0.25,0.5,0.3333,0.4,Provenance quality | README quality | Dependency quality,Dependency quality | Container quality,
Biopython,computational-biology,True,0,0,0.0,0.0,0.0,0.0,Container quality | Provenance quality | README quality,Dependency quality | Test quality,
Scanpy,computational-biology,True,0,2,0.6667,1.0,0.6667,0.8,Container quality | Provenance quality | Dependency quality,Dependency quality | Container quality,
CellProfiler,computational-biology,True,0,1,0.25,0.5,0.3333,0.4,Provenance quality | Test quality | Dependency quality,Dependency quality | Container quality,
Snakemake,computational-biology,True,0,2,0.6667,1.0,0.6667,0.8,Provenance quality | Container quality | Dependency quality,Dependency quality | Container quality,
Nextflow,computational-biology,True,0,2,0.6667,1.0,0.6667,0.8,Test quality | Dependency quality | Provenance quality,Dependency quality | Test quality,
QIIME2,computational-biology,True,0,2,0.6667,1.0,0.6667,0.8,Container quality | Provenance quality | Dependency quality,Dependency quality | Container quality,
xarray,climate-earth,True,1,1,0.2,0.3333,0.3333,0.3333,Dependency quality | Provenance quality | README quality,Dependency quality | Container quality | Test quality,
Pangeo,climate-earth,True,0,0,0.0,0.0,0.0,0.0,Container quality | Provenance quality | README quality,Dependency quality,
ESMValTool,climate-earth,True,0,2,0.6667,1.0,0.6667,0.8,HPC portability quality | Test quality | Dependency quality,Dependency quality | Test quality,
netCDF4-python,climate-earth,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Provenance quality | Dependency quality,Dependency quality | Test quality,
Iris,climate-earth,True,0,2,0.6667,1.0,0.6667,0.8,Container quality | Provenance quality | Dependency quality,Dependency quality | Container quality,
MetPy,climate-earth,True,0,1,0.2,0.3333,0.3333,0.3333,Provenance quality | README quality | Dependency quality,Dependency quality | Container quality | Test quality,
nnU-Net,medical-ai,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Provenance quality | Dependency quality,Dependency quality | Test quality,
TorchIO,medical-ai,True,0,1,0.25,0.5,0.3333,0.4,Container quality | Dependency quality | Provenance quality,Dependency quality | Test quality,
SimpleITK,medical-ai,True,0,0,0.0,0.0,0.0,0.0,Provenance quality | HPC portability quality | Test quality,Dependency quality | Container quality,
TotalSegmentator,medical-ai,True,0,2,0.6667,1.0,0.6667,0.8,Provenance quality | Dependency quality | Container quality,Dependency quality | Container quality,
MONAI Label,medical-ai,True,0,0,0.0,0.0,0.0,0.0,HPC portability quality | Test quality | Provenance quality,Dependency quality | Container quality,
Brain Tumor Viskores ViT,medical-ai,True,0,2,0.5,0.6667,0.6667,0.6667,Container quality | Test quality | Provenance quality,Dependency quality | Test quality | Provenance quality,
